Topic ID,Title,Fancy Title,Slug,Posts Count,Requested Amount,Status,Reply Count,Highest Post Number,Created At,Last Posted At,Views,Like Count,Tags,Last Poster Username,Category ID,posters,Original Poster ID
16617,[Wormhole][FINAL][STIP - Round 1],[Wormhole][FINAL][STIP - Round 1],wormhole-final-stip-round-1,26,"18,00,000",Passed,6,26,21-09-2023 00:57,10-02-2024 17:29,11537,64,[],dmitrii025,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12644, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 2455, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11821, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14763, 'primary_group_id': None, 'flair_group_id': None}]",12644
17162,[Rodeo Finance] [FINAL] [STIP - Round 1],[Rodeo Finance] [FINAL] [STIP - Round 1],rodeo-finance-final-stip-round-1,30,"2,50,000",Passed,10,30,26-09-2023 16:40,08-02-2024 06:17,2554,52,[],HWxFrank,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 11830, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12963, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8179, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",11830
16854,[Savvy] [FINAL] [STIP - Round 1],[Savvy] [FINAL] [STIP - Round 1],savvy-final-stip-round-1,32,"2,00,000",Passed,15,33,23-09-2023 16:32,31-01-2024 19:07,3029,46,['proposal'],SavvyDAO,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12263, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12606, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13349, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13491, 'primary_group_id': None, 'flair_group_id': None}]",12263
16770,[StakeDAO] [FINAL] [STIP - Round 1],[StakeDAO] [FINAL] [STIP - Round 1],stakedao-final-stip-round-1,29,"2,00,000",Passed,15,30,22-09-2023 17:26,31-01-2024 16:45,2873,61,[],Hubirb,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12755, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12606, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12929, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12864, 'primary_group_id': None, 'flair_group_id': None}]",12755
17426,[GMX] [FINAL] [STIP - Round 1],[GMX] [FINAL] [STIP - Round 1],gmx-final-stip-round-1,175,"1,40,00,000",Passed,76,183,27-09-2023 20:29,30-01-2024 08:53,17723,896,[],Shahria,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7290, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11821, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13440, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12144, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14656, 'primary_group_id': None, 'flair_group_id': None}]",7290
17423,[REALM] [FINAL] [STIP - Round 1],[REALM] [FINAL] [STIP - Round 1],realm-final-stip-round-1,24,"3,00,000",Passed,11,24,27-09-2023 20:18,28-01-2024 23:28,3183,35,[],jona,14,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13053, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11821, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13359, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 3964, 'primary_group_id': None, 'flair_group_id': None}]",13053
16691,[Gamma] [FINAL] [STIP - Round 1],[Gamma] [FINAL] [STIP - Round 1],gamma-final-stip-round-1,33,"7,50,000",Passed,7,33,22-09-2023 02:53,17-01-2024 07:25,3819,108,['proposal'],ding,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12711, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12401, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12648, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11825, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14532, 'primary_group_id': None, 'flair_group_id': None}]",12711
17203,[Umami Finance] [FINAL] [STIP - Round 1],[Umami Finance] [FINAL] [STIP - Round 1],umami-finance-final-stip-round-1,36,"7,50,000",Passed,7,37,26-09-2023 22:06,17-01-2024 06:55,3342,73,[],bol,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12891, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13029, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11838, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14531, 'primary_group_id': None, 'flair_group_id': None}]",12891
17104,[ANGLE PROTOCOL] [FINAL] [STIP - Round 1],[ANGLE PROTOCOL] [FINAL] [STIP - Round 1],angle-protocol-final-stip-round-1,26,"7,00,000",Passed,7,26,26-09-2023 12:37,17-01-2024 06:39,2770,60,[],pzi,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12417, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12401, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12710, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14530, 'primary_group_id': None, 'flair_group_id': None}]",12417
17561,[Galxe] [FINAL] [STIP - Round 1],[Galxe] [FINAL] [STIP - Round 1],galxe-final-stip-round-1,25,"5,00,000",Passed,8,25,28-09-2023 03:43,17-01-2024 05:54,3039,10,[],zen,14,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13074, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 6319, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13054, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8179, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14526, 'primary_group_id': None, 'flair_group_id': None}]",13074
